[Wed Mar 06 19:09:35.803235 2024] [php:notice] [pid 17] [client 172.21.0.1:48826] Sou um log, referer: http://127.0.0.1:5501/
[Wed Mar 06 19:09:35.803218 2024] [php:notice] [pid 24] [client 172.21.0.1:48832] Sou um log, referer: http://127.0.0.1:5501/
[Wed Mar 06 19:09:35.804977 2024] [php:notice] [pid 21] [client 172.21.0.1:48848] Sou um log, referer: http://127.0.0.1:5501/
[Wed Mar 06 19:12:53.246089 2024] [php:notice] [pid 19] [client 172.21.0.1:32968] Sou um log, referer: http://127.0.0.1:5501/
[Wed Mar 06 19:12:53.246368 2024] [php:notice] [pid 22] [client 172.21.0.1:32970] Sou um log, referer: http://127.0.0.1:5501/
[Wed Mar 06 19:12:55.425482 2024] [php:notice] [pid 22] [client 172.21.0.1:32970] Sou um log, referer: http://127.0.0.1:5501/
[Wed Mar 06 19:12:55.427582 2024] [php:notice] [pid 19] [client 172.21.0.1:32968] Sou um log, referer: http://127.0.0.1:5501/
[Wed Mar 06 19:12:55.428807 2024] [php:notice] [pid 18] [client 172.21.0.1:32984] Sou um log, referer: http://127.0.0.1:5501/
[Wed Mar 06 19:15:17.206870 2024] [php:notice] [pid 23] [client 172.21.0.1:38738] Sou um log, referer: http://127.0.0.1:5501/
[Wed Mar 06 19:15:17.207069 2024] [php:notice] [pid 20] [client 172.21.0.1:38740] Sou um log, referer: http://127.0.0.1:5501/
[Wed Mar 06 19:15:17.208932 2024] [php:notice] [pid 17] [client 172.21.0.1:38744] Sou um log, referer: http://127.0.0.1:5501/
[Wed Mar 06 19:15:21.412967 2024] [php:notice] [pid 20] [client 172.21.0.1:38740] Sou um log, referer: http://127.0.0.1:5501/
[Wed Mar 06 19:15:21.419726 2024] [php:notice] [pid 20] [client 172.21.0.1:38740] ae2038d778e1f, 19.54, 2.54, referer: http://127.0.0.1:5501/
[Wed Mar 06 19:15:21.438792 2024] [php:notice] [pid 20] [client 172.21.0.1:38740] Sou um log, referer: http://127.0.0.1:5501/
[Wed Mar 06 19:15:23.660474 2024] [php:notice] [pid 20] [client 172.21.0.1:38740] Sou um log, referer: http://127.0.0.1:5501/
[Wed Mar 06 19:15:23.663709 2024] [php:notice] [pid 24] [client 172.21.0.1:43476] Sou um log, referer: http://127.0.0.1:5501/
[Wed Mar 06 19:17:43.133761 2024] [php:notice] [pid 21] [client 172.21.0.1:36614] Sou um log, referer: http://127.0.0.1:5501/
